"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"85","QmX9aiUWwWn5vxe1zLeA8pyGdoGVauuHw7WWoTuCq6yhwR",501,347.795918367347,90633996.3061225,252137457,5.02446506122448
"86","QmXb5FMnh7zH1UDGEbywdi5CHXvMSmV3vYdrCMTakZddZN",502,348.163265306122,92729283.6734694,252095974,3.33800763265306
"87","QmXMwsacVqew7DRGZ7MYiz5NaJGaz6f3867BYxzDxR8W7u",554,351,95186670.0408163,251495599,4.31773095918367
"88","QmXxWJNvFTL5ASzvVRZV9xzLRARq73gTgfq9zyAeTLhCSD",490,345.775510204082,89080563.9795918,252654037,4.04090922448979
"89","QmY4EnYNPpoNMHGNk3aZbdfnswvVQDtaoMjyGwSydzLb6P",511,350.673469387755,93861933.7755102,251651310,5.1602256122449
"90","QmYc2bg3x2H4K9h3A9aJkWN8FUHapof796SH9eMJkZ3JBE",467,326.408163265306,84817088.122449,236007082,5.58399314285714
"91","QmYcuwbRMtE9eTa8TykkuLi5V7D9XeGAKYPtxbptWdz768",509,337.142857142857,87993257.3265306,243970546,5.17905381632653
"92","QmYJ7mvnta37U9Wzr2UM7pP1niEfw8a5BW33QSDUsmpELq",496,328.795918367347,91380434.4897959,234459149,2.95633487755102
"93","QmYwRe16dG99GzfpaqrjcwMrNcGrFGS5qyadZ7ojAZ6b8M",530,371.795918367347,90999327.6326531,278234443,2.56214773469388
"94","QmZ17iSxr6sE18Wsewb46Rgd1VhbGSf2yXkAu9oJ4VETP1",420,266.612244897959,87616195.5714286,176766357,2.22969232653061
